route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
"10-A10-j24-1","TA+esq00","1.TA.10-A10-j24-1.1.R","10-A10-j24-1.1.R","Villach Hauptbahnhof","RJ 639","1",""
"10-A11-j24-1","TA+4r510","10.TA.10-A11-j24-1.5.R","10-A11-j24-1.5.R","Budapest-Keleti","RJX 165","1","1187"
"10-A11-j24-1","TA+xzo10","100.TA.10-A11-j24-1.29.H","10-A11-j24-1.29.H","Feldkirch Bahnhof","RJX 168","0",""
"10-A11-j24-1","TA+zmp00","101.TA.10-A11-j24-1.30.H","10-A11-j24-1.30.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+ldn00","102.TA.10-A11-j24-1.30.H","10-A11-j24-1.30.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+coi10","103.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+rlz00","104.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+43720","105.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+yfz00","106.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+4r510","107.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+2zg10","108.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+qzj10","109.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+flx10","11.TA.10-A11-j24-1.5.R","10-A11-j24-1.5.R","Budapest-Keleti","RJX 165","1","1188"
"10-A11-j24-1","TA+50h10","110.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+23r10","111.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+ok520","112.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+mk520","113.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+ck620","114.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+7v220","115.TA.10-A11-j24-1.32.H","10-A11-j24-1.32.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+mft00","116.TA.10-A11-j24-1.33.H","10-A11-j24-1.33.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+5as00","117.TA.10-A11-j24-1.33.H","10-A11-j24-1.33.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+aoi10","118.TA.10-A11-j24-1.34.H","10-A11-j24-1.34.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+18z00","119.TA.10-A11-j24-1.34.H","10-A11-j24-1.34.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+rlz00","12.TA.10-A11-j24-1.5.R","10-A11-j24-1.5.R","Budapest-Keleti","RJX 165","1","1189"
"10-A11-j24-1","TA+87720","120.TA.10-A11-j24-1.34.H","10-A11-j24-1.34.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+cr510","121.TA.10-A11-j24-1.34.H","10-A11-j24-1.34.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+zi520","122.TA.10-A11-j24-1.34.H","10-A11-j24-1.34.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+p2r10","123.TA.10-A11-j24-1.34.H","10-A11-j24-1.34.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+mjq10","124.TA.10-A11-j24-1.34.H","10-A11-j24-1.34.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+olz00","125.TA.10-A11-j24-1.35.H","10-A11-j24-1.35.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+e8j10","126.TA.10-A11-j24-1.35.H","10-A11-j24-1.35.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+p0k10","127.TA.10-A11-j24-1.35.H","10-A11-j24-1.35.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+10h10","128.TA.10-A11-j24-1.35.H","10-A11-j24-1.35.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+g9g00","129.TA.10-A11-j24-1.34.H","10-A11-j24-1.34.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+7dj10","13.TA.10-A11-j24-1.5.R","10-A11-j24-1.5.R","Budapest-Keleti","RJX 165","1","1196"
"10-A11-j24-1","TA+3lx00","130.TA.10-A11-j24-1.34.H","10-A11-j24-1.34.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j24-1","TA+qz420","131.TA.10-A11-j24-1.22.H","10-A11-j24-1.22.H","Zürich HB","RJX 162","0","1205"
"10-A11-j24-1","TA+qz420","132.TA.10-A11-j24-1.27.H","10-A11-j24-1.27.H","Feldkirch Bahnhof","RJX 562","0",""
"10-A11-j24-1","TA+77720","133.TA.10-A11-j24-1.22.H","10-A11-j24-1.22.H","Zürich HB","RJX 162","0","1206"
"10-A11-j24-1","TA+pvn00","134.TA.10-A11-j24-1.22.H","10-A11-j24-1.22.H","Zürich HB","RJX 162","0","1207"
"10-A11-j24-1","TA+pvn00","135.TA.10-A11-j24-1.27.H","10-A11-j24-1.27.H","Feldkirch Bahnhof","RJX 562","0",""
"10-A11-j24-1","TA+w2620","136.TA.10-A11-j24-1.5.R","10-A11-j24-1.5.R","Budapest-Keleti","RJX 165","1","1195"
"10-A11-j24-1","TA+jz420","137.TA.10-A11-j24-1.15.R","10-A11-j24-1.15.R","Flughafen Wien Bahnhof","RJX 565","1",""
"10-A11-j24-1","TA+is120","138.TA.10-A11-j24-1.15.R","10-A11-j24-1.15.R","Flughafen Wien Bahnhof","RJX 565","1",""
"10-A11-j24-1","TA+jz420","139.TA.10-A11-j24-1.4.R","10-A11-j24-1.4.R","Budapest-Keleti","RJX 165","1","1183"
"10-A11-j24-1","TA+9dj10","14.TA.10-A11-j24-1.5.R","10-A11-j24-1.5.R","Budapest-Keleti","RJX 165","1","1190"
"10-A11-j24-1","TA+pvn00","140.TA.10-A11-j24-1.15.R","10-A11-j24-1.15.R","Flughafen Wien Bahnhof","RJX 565","1",""
"10-A11-j24-1","TA+eyq10","141.TA.10-A11-j24-1.9.R","10-A11-j24-1.9.R","Wien Hauptbahnhof","RJX 165","1",""
"10-A11-j24-1","TA+j7720","142.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+pvn00","143.TA.10-A11-j24-1.31.H","10-A11-j24-1.31.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j24-1","TA+8m420","144.TA.10-A11-j24-1.14.R","10-A11-j24-1.14.R","Flughafen Wien Bahnhof","RJX 567","1",""
"10-A11-j24-1","TA+ldn00","145.TA.10-A11-j24-1.14.R","10-A11-j24-1.14.R","Flughafen Wien Bahnhof","RJX 567","1",""
